TitleGroupStr,TitleGroupCode,SuffixType,SuffixLen,Mode,说明,负责人,
ConstKey,$a,9,8,,常量数据，需添加dzhconst,项明,
HeartBeat,$b,9,8,,心跳使用，具体应用，需添加dzhconst,,
,,,,,,胡安保,
GeguDongtaiDangri,10,1,5,,当日动态行情,,
GeguDongtaiLishi,11,1,5,,历史动态行情,,
KXianDangri1min,12,1,5,,当日K线(1min),,
KXianLishi1min,13,1,5,,历史K线(1min),,
KXianDangri5min,14,1,5,,当日K线(5min),,
KXianLishi5min,15,1,5,,历史K线(5min),,
KXianDangri1day,16,1,5,,当日K线(1day),,
KXianLishi1day,17,1,5,,历史K线(1day),,
FenbiDangri,18,1,5,,当日分笔,,
FenbiLishi,19,1,5,,历史分笔,,
FenbiLishi,1a,,,,,,
FenbiLishi,1b,,,,,,
FenbiLishi,1c,,,,,,
FenbiLishi,1d,,,,,,
FenbiLishi,1e,,,,,,
FenbiLishi,1f,,,,,,
FenbiLishi,1g,,,,,,
FenbiLishi,,,,,,,
FenshiDangri,20,1,5,,当日分时,,
FenshiLishi,21,1,5,,历史分时,,
MaimaipanDangri,22,1,5,,当日买卖盘,,
MaimaipanLishi,23,1,5,,历史买卖盘,,
KuozhangmaimaipanDangri,24,1,5,,当日扩展买卖盘,,
KuozhangmaimaipanLishi,25,1,5,,历史扩展买卖盘,,
QuanmaimaipanDangri,26,1,5,,当日全买卖盘,,
QuanmaimaipanLishi,27,1,5,,历史全买卖盘,,
WeiTuoDangri,28,1,5,,当日委托队列,,
WeiTuoLishi,29,1,5,,历史委托队列,,
LingXianDuoKong,2a,1,5,,领先指标和多空线,,
Level2TongJiDangRi,30,1,5,,当日Level2大单统计,,
Level2TongJiLiShi,31,1,5,,历史Level2大单统计,,
Level2TongJiDongTai,32,1,5,,动态Level2大单统计,,
DDXLiShi,33,1,5,,历史DDX,,
DDXDangRi,34,1,5,,当日DDX,,
ZhuBiShiJian,35,2,2,,逐笔数据时间,,
ZhuBiWeiTuo,36,2,2,,逐笔委托数据,,
ZhuBiChengJiao,37,2,2,,逐笔成交数据,,
ZhuBiOrderTongJi,38,1,5,,逐笔统计数据,,
IndicatorTECHNIQUE,50,0,0,,技术指标,,
IndicatorEXPLORER,51,0,0,,条件选股,,
KXianIndi1min,52,1,5,,K线指标(1min),,
KXianIndi5min,53,1,5,,K线指标(5min),,
KXianIndi1day,54,1,5,,K线指标(1day),,
StklistSort,60,2,2,,排序,,
Tongji,61,0,0,,统计,,
FenJiJiJin,62,1,5,,分级基金计算业务,,
StklistSortTop100,63,2,2,,排序前100个,,
TopicInvest,64,11,4,,主题投资,,
TopicInvestHistory,65,11,4,,主题投资历史,,
KXianWeek,66,1,5,,周K线,,
KXianMonth,67,1,5,,月K线,,
KXianMin,68,1,5,,N(1~99)分钟K线,,
KXianFWeek,69,1,5,,前复权周K线,,
KXianFMonth,70,1,5,,前复权月K线,,
KXianBWeek,71,1,5,,后复权周K线,,
KXianBMonth,72,1,5,,后复权月K线,,
DXSpirit,73,0,0,,短线精灵,,
LongHuBang,74,0,0,,龙虎榜,,
TopicInvestRank,75,11,4,,主题投资排名,,
RangeTimeIX,76,1,5,,IX市场交易日期,,
DDXFenShi,77,1,5,,分时DDX,,
KXianYear,78,1,5,,年K线,,
KXianBYear,79,1,5,,后复权年K线,,
KXianFYear,80,1,5,,前复权年K线,,
KXianHalfYear,81,1,5,,半年K线,,
KXianBHalfYear,82,1,5,,后复权半年K线,,
KXianFHalfYear,83,1,5,,前复权半年K线,,
KXianSeason,84,1,5,,季线,,
KXianBSeason,85,1,5,,后复权季线,,
KXianFSeason,86,1,5,,前复权季线,,
FenshiStatic,87,1,5,,分时数据相关的码表信息,,
ZhubiDangri,88,1,5,,逐笔当日,,
TopicinvestStatic,89,0,0,,主题投资ID列表,,
FenShiDaDan,90,1,5,,分时Level2大单,,
KXianIndimin,91,1,5,,分时指标,,
GeguDongtaiFenshi,92,1,5,,动态行情分时,,
FenshiLishiHash,93,1,5,,分是历史(Hash结构),,
WeituoFenshi,94,1,5,,委托当日分时,,
KXianDangriBakup,95,1,5,,处理FX和SO市场的日K线的存储titlegroup,,
DynaAlib,96,2,2,,动态存储一个alib中变化的obj,,
KXianLogic,97,1,5,,"(1min,5min,1day)收盘存储ARDB",,
KXianLogicStatus,98,2,2,,清收盘状态存储ARDB,,
ShiDangMaiMai,99,1,5,,十档买卖盘,,
LhbDataGeGuLiShi,{a,1,5,,龙虎榜个股历史,吉地,
LhbDataJiGouLiShi,{b,10,-1,,龙虎榜机构历史,,
LhbDataYingYeBuLiShi,{c,10,-1,,龙虎榜营业部历史,,
LhbDataGeGuHot,{d,1,5,,龙虎榜热门个股,,
LhbDataYingYeBuHot,{e,10,-1,,龙虎榜热门营业部,,
LhbDataLongHuBangLiShi,{f,10,-1,,龙虎榜历史数据,,
LhbDataLongHuBangGuanZhu,{g,10,-1,,龙虎榜关注历史数据,,
LhbDataGeGuTongJi,{h,10,-1,,龙虎榜个股统计,,
LhbDataJiGouTongJi,{i,10,-1,,龙虎榜机构统计,,
LhbDataYingYeBuTongJi,{j,10,?-1,,龙虎榜营业部统计,,
PcForecastYeJiYuCe,{k,1,5,,一致性业绩预测序列数据,,
PcShiChangZhangDieXinXi,{l,10,-1,,市场涨跌信息统计,,
XinWenXinXi,A0,1,5,,新闻公告信息(已废弃),黄澄,
FenjijijinYingyong,A1,0,0,A,分级基金应用,胡安保,
Static,A2,2,2,,静态码表,胡安保,
InnerCode,A3,2,2,,市场内码表,,
,,,,,,,
,,,,,,项明,
InnerCodeHash,A4,2,2,,市场内码表(暂未使用),,
SingleProperty,A5,2,2,,单品种属性表,,
BlockInfo,A6,6,8,,板块信息,何浩,
BlockComponent,A7,6,8,,板块成分股信息,,
TitleGroupStatus,A8,7,2,,TitleGroup状态信息（mode默认值与服务的titleGroup一至）,,
BasicFinance,A9,1,5,,基本财务数据,,
IndividualNews,Aa,15,-1,,个性化新闻,,
MobileStockNews,Ab,1,5,,个股新闻（移动端）,,
MobileStockNewsMapping,Ad,17,-1,,个股新闻映射（移动端）,,
MobileHuiwenNews,Ac,16,-1,,导师观点,,
ILVB,Ae,18,-1,,互动直播,王兵,
